original_file,translated_file,status,timestamp,error_message,cost_estimate
train/TR-1.jpg,translated_train/TR-1.jpg,success,2026-03-04 00:00:26,,0.1400
train/TR-10.jpg,translated_train/TR-10.jpg,success,2026-03-04 00:01:02,,0.1400
train/TR-100.jpg,translated_train/TR-100.jpg,success,2026-03-04 00:01:27,,0.1400
train/TR-1000.jpg,translated_train/TR-1000.jpg,success,2026-03-04 00:01:49,,0.1400
train/TR-1001.jpg,translated_train/TR-1001.jpg,success,2026-03-04 00:02:11,,0.1400
train/TR-1002.jpg,translated_train/TR-1002.jpg,success,2026-03-04 00:02:32,,0.1400
train/TR-1003.jpg,translated_train/TR-1003.jpg,success,2026-03-04 00:03:00,,0.1400
train/TR-1004.jpg,translated_train/TR-1004.jpg,success,2026-03-04 00:03:26,,0.1400
train/TR-1005.jpg,translated_train/TR-1005.jpg,success,2026-03-04 00:03:50,,0.1400
train/TR-1006.jpg,translated_train/TR-1006.jpg,success,2026-03-04 00:04:12,,0.1400
train/TR-1007.jpg,translated_train/TR-1007.jpg,success,2026-03-04 00:04:39,,0.1400
train/TR-1008.jpg,translated_train/TR-1008.jpg,success,2026-03-04 00:05:01,,0.1400
train/TR-1009.jpg,translated_train/TR-1009.jpg,success,2026-03-04 00:05:26,,0.1400
train/TR-101.jpg,translated_train/TR-101.jpg,success,2026-03-04 00:05:47,,0.1400
train/TR-1010.jpg,translated_train/TR-1010.jpg,success,2026-03-04 00:06:07,,0.1400
train/TR-1011.jpg,translated_train/TR-1011.jpg,success,2026-03-04 00:06:33,,0.1400
train/TR-1012.jpg,translated_train/TR-1012.jpg,success,2026-03-04 00:06:55,,0.1400
train/TR-1013.jpg,translated_train/TR-1013.jpg,success,2026-03-04 00:07:18,,0.1400
train/TR-1014.jpg,translated_train/TR-1014.jpg,success,2026-03-04 00:07:48,,0.1400
train/TR-1015.jpg,translated_train/TR-1015.jpg,success,2026-03-04 00:08:16,,0.1400
train/TR-1016.jpg,translated_train/TR-1016.jpg,success,2026-03-04 00:08:36,,0.1400
train/TR-1017.jpg,translated_train/TR-1017.jpg,success,2026-03-04 00:09:06,,0.1400
train/TR-1018.jpg,translated_train/TR-1018.jpg,success,2026-03-04 00:09:28,,0.1400
train/TR-1019.jpg,translated_train/TR-1019.jpg,success,2026-03-04 00:09:55,,0.1400
train/TR-102.jpg,translated_train/TR-102.jpg,success,2026-03-04 00:10:15,,0.1400
train/TR-1020.jpg,translated_train/TR-1020.jpg,success,2026-03-04 00:10:37,,0.1400
train/TR-1021.jpg,translated_train/TR-1021.jpg,success,2026-03-04 00:11:04,,0.1400
train/TR-1022.jpg,translated_train/TR-1022.jpg,success,2026-03-04 00:11:25,,0.1400
train/TR-1023.jpg,translated_train/TR-1023.jpg,success,2026-03-04 00:11:51,,0.1400
train/TR-1024.jpg,translated_train/TR-1024.jpg,success,2026-03-04 00:12:16,,0.1400
train/TR-1025.jpg,translated_train/TR-1025.jpg,success,2026-03-04 00:12:39,,0.1400
train/TR-1026.jpg,translated_train/TR-1026.jpg,success,2026-03-04 00:13:03,,0.1400
train/TR-1027.jpg,translated_train/TR-1027.jpg,success,2026-03-04 00:13:26,,0.1400
train/TR-1028.jpg,translated_train/TR-1028.jpg,success,2026-03-04 00:13:47,,0.1400
train/TR-1029.jpg,translated_train/TR-1029.jpg,success,2026-03-04 00:14:14,,0.1400
train/TR-103.jpg,translated_train/TR-103.jpg,success,2026-03-04 00:14:39,,0.1400
train/TR-1030.jpg,translated_train/TR-1030.jpg,success,2026-03-04 00:15:02,,0.1400
train/TR-1031.jpg,translated_train/TR-1031.jpg,success,2026-03-04 00:15:24,,0.1400
train/TR-1032.jpg,translated_train/TR-1032.jpg,success,2026-03-04 00:15:50,,0.1400
train/TR-1033.jpg,translated_train/TR-1033.jpg,success,2026-03-04 00:16:11,,0.1400
train/TR-1034.jpg,translated_train/TR-1034.jpg,success,2026-03-04 00:16:34,,0.1400
train/TR-1035.jpg,translated_train/TR-1035.jpg,success,2026-03-04 00:17:00,,0.1400
train/TR-1036.jpg,translated_train/TR-1036.jpg,success,2026-03-04 00:17:21,,0.1400
train/TR-1037.jpg,translated_train/TR-1037.jpg,success,2026-03-04 00:17:48,,0.1400
train/TR-1038.jpg,translated_train/TR-1038.jpg,success,2026-03-04 00:18:11,,0.1400
train/TR-1039.jpg,translated_train/TR-1039.jpg,success,2026-03-04 00:18:31,,0.1400
train/TR-104.jpg,translated_train/TR-104.jpg,success,2026-03-04 00:19:07,,0.1400
