image_id,category,gold_labels
TE-343.jpg,BRAND_DEPENDENT,"[0,0,0,1,0,0,0]"
TE-425.jpg,BRAND_DEPENDENT,"[1,0,0,0,1,0,0]"
TE-21.jpg,CELEBRITY_DEPENDENT,"[1,0,0,0,0,0,0]"
TE-470.jpg,CELEBRITY_DEPENDENT,"[1,0,0,0,0,0,1]"
TE-160.jpg,CULTURAL_REFERENCE_DEPENDENT,"[1,1,0,0,0,0,0]"
TE-214.jpg,CULTURAL_REFERENCE_DEPENDENT,"[1,0,0,0,1,0,0]"
TE-299.jpg,CULTURAL_REFERENCE_DEPENDENT,"[0,0,1,0,0,0,0]"
TE-33.jpg,CULTURAL_REFERENCE_DEPENDENT,"[0,0,0,0,0,0,0]"
TE-411.jpg,CULTURAL_REFERENCE_DEPENDENT,"[0,0,0,0,0,0,0]"
TE-619.jpg,CULTURAL_REFERENCE_DEPENDENT,"[0,0,0,1,0,0,0]"
TE-74.jpg,CULTURAL_REFERENCE_DEPENDENT,"[1,0,1,0,0,0,0]"
TE-107.jpg,LANGUAGE_DEPENDENT,"[0,0,0,0,1,0,0]"
TE-384.jpg,LANGUAGE_DEPENDENT,"[0,0,0,0,0,0,0]"
TE-418.jpg,LANGUAGE_DEPENDENT,"[0,0,0,0,0,1,0]"
TE-446.jpg,LANGUAGE_DEPENDENT,"[1,0,0,0,0,0,0]"
TE-457.jpg,LANGUAGE_DEPENDENT,"[0,0,0,0,0,0,0]"
TE-519.jpg,LANGUAGE_DEPENDENT,"[0,0,0,1,0,0,0]"
TE-521.jpg,LIFESTYLE_CONTEXT_DEPENDENT,"[0,0,0,0,0,1,0]"
TE-226.jpg,MEDIA_CONTEXT_DEPENDENT,"[1,0,0,0,0,0,0]"
TE-294.jpg,MEDIA_CONTEXT_DEPENDENT,"[0,0,0,0,1,0,0]"
TE-47.jpg,MEDIA_CONTEXT_DEPENDENT,"[1,0,0,0,1,0,0]"
TE-196.jpg,MEME_FORMAT_DEPENDENT,"[1,0,1,0,0,0,0]"
TE-550.jpg,MEME_FORMAT_DEPENDENT,"[0,0,0,1,0,0,0]"
TE-591.jpg,MEME_FORMAT_DEPENDENT,"[0,0,0,0,0,1,0]"
TE-249.jpg,NICHE_SUBCULTURE_DEPENDENT,"[0,0,0,0,1,0,0]"
TE-279.jpg,NICHE_SUBCULTURE_DEPENDENT,"[0,0,0,1,0,0,0]"
TE-166.jpg,POP_CULTURE_DEPENDENT,"[1,0,1,0,1,0,0]"
TE-168.jpg,POP_CULTURE_DEPENDENT,"[0,0,1,0,0,0,0]"
TE-178.jpg,POP_CULTURE_DEPENDENT,"[1,0,1,0,0,0,0]"
TE-364.jpg,POP_CULTURE_DEPENDENT,"[1,0,1,0,0,0,0]"
TE-379.jpg,POP_CULTURE_DEPENDENT,"[1,0,1,0,1,0,0]"
TE-467.jpg,POP_CULTURE_DEPENDENT,"[1,0,0,0,0,0,0]"
TE-442.jpg,REFERENCE_DEPENDENT,"[0,0,0,0,0,0,0]"
TE-644.jpg,REFERENCE_DEPENDENT,"[0,0,1,0,0,1,0]"
TE-10.jpg,UNIVERSAL_HUMAN,"[0,0,0,1,0,0,0]"
TE-103.jpg,UNIVERSAL_HUMAN,"[0,0,0,0,0,0,0]"
TE-106.jpg,UNIVERSAL_HUMAN,"[0,0,0,0,1,1,0]"
TE-11.jpg,UNIVERSAL_HUMAN,"[1,0,0,0,0,0,0]"
TE-116.jpg,UNIVERSAL_HUMAN,"[0,0,1,0,1,0,0]"
